Pair,p-value
ZTS-NDSN,0.0040926180550408175
WRB-RVTY,0.004093552865093868
WRB-RVTY,0.004093552865093868
SBUX-ED,0.004099003484400303
GWW-KLAC,0.004105459196434867
NTRS-SCHW,0.004105827613410321
LH-BLK,0.004107098565619318
AON-FDS,0.004108223028787053
ITW-AIZ,0.004113389109899023
TGT-NKE,0.004117880658941039
FICO-KKR,0.004120062262557792
MLM-TJX,0.00412272692463651
WAB-WELL,0.004124765572772926
BRO-KLAC,0.004125562906333485
PTC-PGR,0.0041323533685314745
ITW-HON,0.004135696422611606
PG-DXCM,0.0041389310012616325
ERIE-LOW,0.004140754776769473
JPM-PGR,0.004144553070335562
HPE-L,0.0041490493136121
DUK-JCI,0.0041497044580576185
PG-CSX,0.004155516879706789
VLTO-NEE,0.004156004317403098
AWK-RVTY,0.004165354840799333
AWK-RVTY,0.004165354840799333
MU-VRTX,0.0041703353307992385
CINF-NVR,0.004172522148159881
JNJ-NOC,0.004174281317485621
WM-ISRG,0.0041769680950628375
DPZ-AMGN,0.0041803950105738725
FDX-STZ,0.004195074974179105
PNR-DVA,0.004201837241177057
AMT-HON,0.004208481539667794
HLT-TRV,0.0042128227380624815
CMS-DPZ,0.004218550329009036
ADM-LKQ,0.004225657203431053
EXR-HON,0.004229221493257708
CDNS-HCA,0.004229270403753445
PH-KLAC,0.004237314621360228
MCHP-JBHT,0.004241606913218497
PEG-WTW,0.004242214998829816
AMGN-LOW,0.0042478759543282995
CEG-HIG,0.00425010637403611
IR-DECK,0.004250381288487864
PG-OTIS,0.004251346815438129
SBUX-SYY,0.004251410161834416
EQIX-TMO,0.0042543228845983916
ALL-NVR,0.004254627115950446
WEC-JKHY,0.00425943709142508
RMD-TMO,0.004261570353631231
MCHP-ODFL,0.004272857503917645
VRSN-SCHW,0.0042729646330021695
NDSN-TMO,0.004276966293009381
VMC-TPL,0.00427902470728396
AON-MNST,0.004285453563306997
ABBV-PARA,0.004285532959203102
IQV-NDSN,0.004295530502550378
LMT-AEP,0.004298558429889183
ICE-TYL,0.0043013612806021145
ZBRA-TECH,0.004305668207488624
CI-ROP,0.004312891546655291
PGR-PANW,0.004317170828301067
HAL-BEN,0.004320236288951961
CMI-ED,0.004321260406077656
AON-ITW,0.0043229508023578285
ITW-CHD,0.00432523034560012
PAYX-AIZ,0.0043294265834892725
DUK-MNST,0.004341438993764755
TTD-TYL,0.004341660983779252
REGN-EG,0.0043508772780310265
CINF-LOW,0.0043532636951520666
UHS-ANET,0.0043624879693803685
DUK-EMR,0.00436267793541319
BRK.B-ADP,0.0043636525588037324
UPS-RVTY,0.004364493003801467
UPS-RVTY,0.004364493003801467
EXR-JBHT,0.00436589146283628
DRI-NVR,0.004373602940219405
DUK-CPAY,0.00438011179352865
MTB-UDR,0.004380307143111988
MSI-AMAT,0.004382819911991035
DXCM-NEE,0.004383098072790049
LHX-EFX,0.004383642107465742
SRE-YUM,0.004387757812128158
TGT-ZBRA,0.004389967700907636
BRO-ADI,0.004391268516735508
RMD-CINF,0.00439470938902566
USB-HSIC,0.004401361542440745
MA-PEG,0.004402339205292212
EPAM-CZR,0.004411063995003216
ALL-LRCX,0.004412604613589903
COST-VRTX,0.004418652689756648
AMZN-NVR,0.004419554550633604
EW-NDSN,0.004419669449800709
EFX-GL,0.004420847966453432
PEG-VRSK,0.004426049163129521
IT-STLD,0.004427093849229965
PNC-EXR,0.0044292353705501115
RMD-ADP,0.004438417730153998
PNR-NWSA,0.0044434112776564685
MNST-WAT,0.004443470393618601
ELV-TER,0.004445343490276287
SRE-WEC,0.004452695994556141
ED-CB,0.0044527450446366825
WEC-UNP,0.004454666394265613
TSN-MDT,0.004454832072510638
CPAY-AMGN,0.004458263178257253
CI-ULTA,0.004458983483313813
ES-MKC,0.004464795566991461
DXCM-ACN,0.00446679775799357
BXP-PARA,0.004474065693785582
EQIX-DHR,0.004478845048232809
MAR-CINF,0.004481471952669694
ELV-JBHT,0.004481764263246515
BAC-AWK,0.004483395590532106
AAPL-DHI,0.0044872216818644586
TYL-AIZ,0.004491975408794756
MLM-PGR,0.004492598587559104
KDP-KEYS,0.0044945264926292755
USB-ES,0.004495645416461723
GM-TRMB,0.004499485862468702
CINF-PKG,0.0045019209504424725
DPZ-UNP,0.004502084861486521
ALL-BR,0.004503344368643223
APD-AEP,0.004503923463224296
DLR-CMS,0.004508423118536519
STX-RVTY,0.004510941023090184
STX-RVTY,0.004510941023090184
TSLA-LOW,0.004511374801591648
GOOGL-EFX,0.004511385861305641
KEYS-STE,0.00451209628976389
GOOGL-PTC,0.004516624753773875
VTR-GEN,0.004517834791412747
APO-MSI,0.00452166154509509
MPWR-TSCO,0.0045217008626894945
CDNS-LRCX,0.004531010961647681
HUBB-STLD,0.00454221015651756
APD-AMGN,0.0045427610705888275
GOOG-BRO,0.0045432692025467025
DUK-SNA,0.004546346179503758
MAR-ADP,0.004554170596888398
PCAR-CB,0.004564013739751436
ED-RJF,0.004573262159519718
TDG-TPL,0.004574515659096993
ABBV-MMC,0.004576624561693089
GIS-DLTR,0.004578652492406399
ED-EVRG,0.004586703728878318
TTD-QCOM,0.00458685563214609
NXPI-AIZ,0.004587089337820187
BRK.B-TRV,0.004587754010295388
DHI-ISRG,0.004589049916786115
LULU-TER,0.004590444361549642
TYL-WAT,0.004591159683183835
ACN-NEE,0.00459171651150426
DTE-LNT,0.004593571544529497
TPL-BLDR,0.0046001785065218756
CHD-IEX,0.004601384561576969
CEG-BKNG,0.004601610079043777
ITW-TYL,0.004606889315582717
LMT-MCHP,0.004608069443064949
WBA-PARA,0.004616504703351906
LHX-JKHY,0.004625298630179574
ROST-GL,0.004629537863616917
NSC-TDY,0.004634639049795694
EW-XEL,0.004641465851731653
ABBV-PANW,0.00464461221905201
HCA-OTIS,0.004651327823860644
CINF-SCHW,0.004667059494915738
BBY-MKTX,0.004670834792554251
TRV-STX,0.004671277256640494
KMX-EMN,0.004674141574660498
AZO-GWW,0.004677996641343959
GWW-PANW,0.004680816954981081
USB-PSA,0.00468180277439491
DVA-QCOM,0.004683756635239205
TEL-EBAY,0.00468563475872969
MCHP-DPZ,0.004688377735687235
EXPD-MOH,0.0046894764963994725
IQV-DHR,0.004691496518566741
DLR-AEP,0.00469220273444638
AAPL-AON,0.0046939494853742705
TGT-GNRC,0.004694172263713723
SYY-FDS,0.004698198242301535
ZTS-STE,0.004704412581211483
RMD-NEE,0.004705892960203013
MSFT-GOOGL,0.004707592393327712
NSC-ROK,0.004711672538408905
OMC-GILD,0.004711721139200082
BR-ADI,0.004717739554777897
APD-IDXX,0.004720758125300609
AMP-BRO,0.004726681835276763
TRV-AMGN,0.004738502588847214
AZO-DECK,0.004738818472140484
CTVA-VTRS,0.004741842372203419
AON-ROK,0.004750272016206373
MDLZ-KEYS,0.004751827527971563
FDX-EA,0.004752486266476989
WAT-SCHW,0.004754653603067718
SO-LH,0.004760859997944962
SHW-LHX,0.004764130016194955
APD-SYY,0.004764852397530536
EMR-BKNG,0.004768931032424754
XEL-VRSN,0.004771215465616232
NOC-PNC,0.004775325973056717
AMZN-TDY,0.004788726632164137
MTD-CINF,0.004792872326951004
ITW-CARR,0.0048016882020695435
IQV-TMO,0.00480545889832459
HCA-CPRT,0.004806827851211251
MCHP-JKHY,0.004806895642555006
AJG-PTC,0.004808055655324258
STX-WTW,0.0048089331863318645
DHI-IT,0.004810320377820158
TPL-DE,0.004811778816724698
DTE-AOS,0.004814961660043041
JNJ-PPG,0.004828965094217993
JNJ-EFX,0.004832643763141598
PG-WAT,0.004838373763606944
ULTA-DGX,0.004841326266961745
PNC-EA,0.004841570424194013
MAR-TPL,0.004844049311883475
QCOM-CB,0.004845057353035041
IR-MLM,0.004850382179134877
PSA-DLTR,0.00485205249949852
STLD-SNPS,0.004853882489715368
ECL-DLR,0.004859528740633357
EQIX-PNC,0.004863539124960139
COST-RSG,0.00486742797938825
AEP-WAT,0.0048698561552355385
ABBV-AMP,0.004870039213178252
TEL-ROK,0.00487117408642292
WDAY-YUM,0.004878967936927482
TPL-MU,0.004881796992110171
DE-LRCX,0.0048821507834312565
MET-PCAR,0.0048826421161854636
AON-SCHW,0.004886420138632893
AEP-AIZ,0.004889656692532441
FDX-HOLX,0.004898193278450039
MAR-BRO,0.00490951502388732
IEX-AMGN,0.004910330614707325
ODFL-IT,0.004916132105001069
HUBB-TJX,0.004919250383610089
WMT-NFLX,0.0049256203835512605
EQIX-DOV,0.004935006596989974
LLY-JBL,0.004939290437865655
SHW-ERIE,0.004941619677352287
D-VLTO,0.004942024367364023
MMC-LRCX,0.004944564660923722
WAT-GL,0.0049493145738410205
CME-ALLE,0.004949935625625806
JCI-RVTY,0.0049500889971152975
JCI-RVTY,0.0049500889971152975
WST-TER,0.004950985063861474
ERIE-MU,0.004951661420840572
ED-UHS,0.004957401976528041
WTW-AIZ,0.0049579478914664665
PKG-VRTX,0.004963885668170669
AEP-TTWO,0.004971825959579733
ADSK-ALLE,0.004974685889250373
AJG-BLDR,0.004986266513699376
SBUX-SRE,0.004987804319690923
PARA-PANW,0.0049912852322240644
TSLA-DUK,0.004995568976504489
LUV-HAS,0.004997977163458199
CTSH-AVB,0.005002975903538061
LDOS-LRCX,0.005007281149319063
ORLY-MPWR,0.0050152363354625095
AAPL-LOW,0.005018433140848329
TT-CEG,0.005028233672411667
APTV-CZR,0.005030859892638943
PG-TTD,0.005031551375468038
CME-FOXA,0.005039163516145786
LHX-CHD,0.005043163234630687
EQIX-BDX,0.005047458597276931
WTW-LDOS,0.005049756876202845
VTR-K,0.005057854988473155
PNC-NEE,0.005058842205816858
ON-STLD,0.005060752166601048
ELV-IEX,0.00506492398206504
IFF-INCY,0.005067332833641207
DOV-CINF,0.005067801745868561
GD-GL,0.005076489901633202
SRE-CDW,0.005077702330108508
NDSN-HON,0.005079947085352623
HD-SHW,0.005083192723663033
HD-AEP,0.005085747032705924
NEE-UNP,0.005086259268793584
ROP-DRI,0.005086650672013723
AXP-CAT,0.005097700147267566
IQV-INVH,0.005101066785415304
AON-WAT,0.0051026537261314574
CSX-ROP,0.005105718450603726
ERIE-TKO,0.005106131986725887
JNJ-MCHP,0.0051062032744925625
DUK-ROP,0.005112271491514809
PAYX-VMC,0.005117149909010127
DUK-ULTA,0.005119035891819213
PNC-TTWO,0.005120294185176763
UPS-TGT,0.005120561359643978
CINF-VRTX,0.005120938710130884
WMT-TT,0.0051253804176425045
PH-ORLY,0.0051301320316220825
O-DLTR,0.0051338237412687825
ROK-EBAY,0.005138570987041271
EFX-SCHW,0.005139304318735743
A-EFX,0.00514318112521052
HD-MNST,0.005151542475241582
OTIS-TSCO,0.005156584120862782
APTV-NKE,0.005159941061325453
PG-ITW,0.005163410306055631
EMR-AMP,0.005166088587570263
CBOE-ANET,0.00516782797866813
TSLA-STE,0.005174136778268289
ITW-ED,0.005180958803529308
VRSN-CINF,0.00518244988139786
NVR-DECK,0.005188312473310977
COO-JKHY,0.005188335673720012
ROL-ADI,0.005189215416173953
XYL-MAS,0.005204676046563116
PNC-ROP,0.005204824805922171
PWR-WSM,0.00521223352632527
AWK-PAYC,0.005214553881630248
EQIX-ATO,0.005217685919540373
CMG-QCOM,0.005221004184746732
RSG-WSM,0.0052237800251367745
DHI-SYK,0.005228990650829231
ED-JBHT,0.005231583872353592
MCO-VRTX,0.005231799100505249
SBUX-APD,0.005236019554747205
HD-IDXX,0.00524084465064401
GOOGL-DRI,0.005243933316437081
O-KMX,0.005244124723344507
EXR-DPZ,0.005247241312656558
JNJ-KEYS,0.005255281477085081
HLT-WRB,0.005259471046295926
DUK-DPZ,0.005269479077442743
BKNG-TJX,0.005273333260709609
CMS-ALLE,0.005278268543385262
LULU-DHR,0.005279846774454901
CPRT-WTW,0.005282050344436837
USB-PPG,0.00528355888178451
WM-PAYX,0.0052863889928932125
PG-LOW,0.0052918715864617326
AIZ-TXN,0.005294450554371059
ICE-ALL,0.005303618656862644
AJG-PGR,0.00530780433905491
RMD-SCHW,0.005314428081222553
HCA-MSI,0.005315453910206131
LYV-ADP,0.005316582898088227
WM-BX,0.005317827252877968
STT-MTB,0.0053205755508720755
ELV-WAT,0.0053235729002991
VRSK-PTC,0.005330662707222768
YUM-EFX,0.00533862055862411
CHD-CDW,0.005349856159365386
REGN-GPC,0.0053509755274996395
CTSH-HSIC,0.0053513800580776965
SO-TDG,0.005355728129566863
ADM-HOLX,0.00536103048042514
PNC-EVRG,0.005365335638182918
AON-DRI,0.005366715953232655
KO-NOW,0.0053682281048900585
BR-CINF,0.0053684693923388175
NEE-HON,0.005376596715163617
EFX-LH,0.005380290902797739
CSGP-TXN,0.005382484249430213
ISRG-SYK,0.0053926329293728
WDAY-XYL,0.005395963157953164
AAPL-AMAT,0.0053995147269114046
CME-DGX,0.0054000447489284675
PRU-CNP,0.005403939181893142
ERIE-AIZ,0.005405793219636542
STE-NDSN,0.0054091371594047885
LLY-CDNS,0.005414148973888244
BR-NVR,0.005420846080797784
APO-MPWR,0.005425633661625754
CLX-MKTX,0.005426454461632749
EMR-DVA,0.005431156496627992
DOV-VRTX,0.005443313957846986
AFL-ACGL,0.005443347547664488
WTW-SCHW,0.005444882789331664
DRI-PKG,0.0054511691428606734
EFX-ACN,0.005466822265539187
AMZN-ALLE,0.005468706835841005
PAYX-VRTX,0.005470018117895954
EQIX-JBHT,0.005470603229197263
EFX-TDY,0.005473946534435218
DTE-CHD,0.005480841848982034
WSM-NWS,0.00548531146388086
RMD-ACN,0.005495088869753019
ABBV-HCA,0.00549561995480408
JNJ-NSC,0.005501388234351267
AJG-HLT,0.005520684777081162
NOC-PAYX,0.00552305327006274
USB-KMX,0.005524129909287285
ED-GPC,0.005529708641623494
ETN-KKR,0.005536334357523218
IT-NVR,0.0055382484286228
NOC-ADP,0.005541770133710185
PG-WTW,0.005543125524886222
LMT-LNT,0.005544805670133268
WEC-AMGN,0.00554816715235107
NVR-ADP,0.0055486555785710335
AJG-KKR,0.005550300567325935
PNC-CHD,0.005555998202889461
RSG-PANW,0.005559910682496211
CPAY-APA,0.00557690772879252
CMG-AMAT,0.0055850265398414214
VLO-PEG,0.005591186340789089
NOC-PKG,0.005593115271677656
AIZ-BLK,0.00559539441951327
PH-ERIE,0.005595728066108555
AEP-ATO,0.005599541208870469
MKC-PAYC,0.005604310762885094
NTRS-ATO,0.005604498081564363
COR-ETN,0.005606741422746131
ODFL-ON,0.005607973336734117
TTD-TXN,0.005609540071052346
ITW-CINF,0.005609669301827326
VICI-WAT,0.005614037690345532
REGN-PPG,0.005614640623454738
ROP-CINF,0.0056151685313492565
WEC-HON,0.005616361597226818
WEC-DPZ,0.005620670853794968
CINF-STE,0.005625675976658837
PEG-BLK,0.005632715318604349
LMT-UNP,0.005636064530672344
JPM-LII,0.00564329911322532
TKO-PGR,0.005643531796268218
TSLA-NDAQ,0.005645153618527852
FDX-COO,0.005646803889300125
DUK-ECL,0.005647240986226872
AON-MPWR,0.005648043205424392
PH-FICO,0.005648679863748272
BRK.B-DHI,0.005650139774534598
SO-DRI,0.005652780857620815
MTB-DGX,0.0056547322530823745
SHW-TSCO,0.005656570331429546
GOOG-EMR,0.005656573522948136
FDX-AMGN,0.005668541534133736
EMR-BLK,0.005669634881114699
HCA-TJX,0.005680506782177257
DUK-EQIX,0.005687314608466421
AFL-NVR,0.0056878627235725275
LMT-YUM,0.0056879974632238475
FDX-EFX,0.005697030992472744
APD-HON,0.005704835414350936
ABBV-PKG,0.005708481047221087
KEYS-NEE,0.0057109984555649826
HD-MTD,0.005715107711018534
ECL-LNT,0.005722397966011955
UPS-CRL,0.005724941605473507
BRK.B-DRI,0.0057338836080896485
CSX-MCHP,0.005741201064236889
DUK-TRV,0.005746901509660848
AME-CB,0.005747902396509666
BDX-DLTR,0.005758618340957002
DHI-PTC,0.005764628928165502
USB-ZBH,0.00577405500836193
SPGI-LRCX,0.005779305992001921
HD-A,0.005781620401437146
KMB-KMX,0.005783940802844189
TSLA-PAYX,0.005786807849064841
MPWR-WSM,0.005792672878269797
ABBV-VMC,0.005799767454699896
IT-TPL,0.005802205415373517
LHX-SYY,0.005804408996479727
IRM-ETN,0.0058066635525944954
XEL-CSGP,0.005823565875241003
ALL-STX,0.005824803695565823
NOC-MAR,0.005827499744718508
PG-JBHT,0.005833258236452879
LYV-BR,0.005834701480547729
SBUX-AWK,0.005837648227149699
TSLA-LRCX,0.0058389546401432695
NVR-TJX,0.005843627776587403
SYY-AOS,0.005844038194322374
AAPL-HCA,0.005852569388460112
KMX-MKTX,0.005854466530551798
LUV-CAG,0.005858312067069281
PEG-J,0.0058616231946764085
FDX-HSIC,0.005865104586619507
EQIX-QCOM,0.005868851865803116
USB-CMCSA,0.005875288809419481
JPM-ORCL,0.005877440445251765
PAYX-WRB,0.005881825299441636
ACN-MU,0.005887274819552013
KEYS-UNP,0.005888234871852084
WTW-ALLE,0.005891374862032494
EFX-NEE,0.005891940970570416
PPG-DLTR,0.005893123102265065
ROP-NDSN,0.00589365933253734
GOOGL-RJF,0.005894064977356962
MCO-LRCX,0.005897900684818186
PNC-STE,0.0058988295885977855
USB-SJM,0.005900494392873241
ADSK-TYL,0.005904345723544836
ADSK-NEE,0.00590744303844324
CDNS-TDG,0.005907472756839875
IDXX-TDY,0.0059162239116796345
EOG-OMC,0.00592433540454311
ITW-MTD,0.005933116524436429
TTWO-WTW,0.005933959010210087
A-DPZ,0.00593615294040706
CI-ROL,0.005962039244354515
BRK.B-GWW,0.005965067751258901
SQ-KMX,0.005968034290078026
MCHP-EG,0.005969106775966323
AFL-MPWR,0.0059695545932003154
PKG-MU,0.005977756997839838
REGN-QCOM,0.005981108558801559
LMT-DTE,0.005985585432620887
LLY-BLDR,0.005986503601967339
USB-ED,0.005987779274847684
DLR-DTE,0.005990171514813593
DUK-WTW,0.005993031849958976
CTSH-EMN,0.0059930318600560336
GWW-MPWR,0.005994603523537445
PCAR-PANW,0.006008158749344784
EMR-MLM,0.00601128807981149
AJG-APH,0.006015687408885155
WMT-KLAC,0.006017611326679324
FDS-LOW,0.006023929927399014
ULTA-GL,0.0060252016018224625
HBAN-HII,0.0060292932155237315
DPZ-ACN,0.006035255815689252
WEC-WAT,0.006035818003691146
LMT-PNC,0.006042816549984728
SBUX-EW,0.006043943239954514
ZBH-APTV,0.00605283192812299
VMC-WTW,0.006054791386188787
TEL-PEG,0.006060459522165691
CI-NDSN,0.00606177583339334
SBUX-DPZ,0.0060669046415633395
TTWO-CINF,0.006067636626529909
AMT-NEE,0.006076950138568072
DPZ-JKHY,0.006083956080336782
ROP-RMD,0.006099549969818103
APD-TYL,0.006105491046138094
POOL-NEE,0.006108106517337095
HRL-CLX,0.006111088970187333
ADSK-EBAY,0.006111818767412539
CSX-MTD,0.006112887465314113
AON-MLM,0.006118019824621425
EQIX-PSA,0.006118872145079666
PLD-DXCM,0.006126801080117919
AJG-ERIE,0.006130144602956378
CINF-RVTY,0.006130458830097815
CINF-RVTY,0.006130458830097815
EW-TXN,0.0061343473591366875
DRI-ADP,0.006136064320836978
TT-ORLY,0.00614131574712903
MPWR-QCOM,0.006143702328437236
EMR-AFL,0.006145631034229632
MAR-COR,0.0061532842332448065
DECK-PANW,0.0061600101577161505
BRO-DE,0.0061668627578592644
ABBV-WM,0.006171535213162182
BBY-POOL,0.006174672261376362
DLR-LNT,0.006176823390093891
TPL-SPGI,0.006178880428051839
PAYX-TSCO,0.006188266986503354
AMZN-LDOS,0.006202315973550765
EXPE-EVRG,0.006204251364975904
CMI-VRSK,0.0062050072050035135
MAR-AMGN,0.0062139743588884525
CEG-ADSK,0.00621494310120349
ELV-NDSN,0.006216766832275743
WM-DHI,0.006219610194932171
NSC-DTE,0.006231012590143949
WAT-HOLX,0.00624284644722463
NDAQ-DGX,0.006243244996615811
NOC-HON,0.006244671035923979
LIN-NOW,0.006260446734590072
PNC-MNST,0.006263847644336579
TDG-PANW,0.006266837876087827
AMT-APD,0.006267506191173619
MKC-WAT,0.006272204245306396
FDX-UHS,0.006276295398942589
AAPL-STLD,0.006287267277517811
CHD-JKHY,0.006294342477819553
SYY-GL,0.006297907325194181
AMZN-ALL,0.0063008585949535486
NSC-KEYS,0.006301224524389785
ROST-LNT,0.006304071348141878
VMC-CBOE,0.006305250722913231
WM-LDOS,0.006312950962313826
GL-AOS,0.006317032527456159
ELV-FDS,0.006320775497756477
CI-ROST,0.006331887654969499
USB-CCI,0.006334163258589248
LULU-TMO,0.006335743489253399
AAPL-AJG,0.006344471970007728
WTW-LII,0.006346839434162302
EFX-UNP,0.006348848624827451
LHX-CSGP,0.006355010603935043
SBUX-XEL,0.006361840578270224
ROP-FDS,0.006362051131963499
BR-CRWD,0.006362925754981123
EQIX-SRE,0.006374169728887319
ED-LH,0.006376839664592578
FAST-DE,0.006381976877058798
EBAY-WTW,0.006386303256143199
TGT-RVTY,0.006389519311634354
TGT-RVTY,0.006389519311634354
APO-WSM,0.006394156589295484
AFL-BKNG,0.0063953185016261925
LLY-IR,0.0064040915361766385
EOG-SRE,0.006404669441262901
DUK-XYL,0.006404874661508624
CCI-TROW,0.0064060702422026996
TRV-ED,0.006407604401154327
AFL-BRO,0.006407633183797096
ROP-TYL,0.006409031568648818
HCA-TPL,0.006409298801199902
AAPL-PTC,0.006411730242538089
ABBV-ADI,0.006417892633899913
CLX-SWKS,0.006421318721801388
ICE-RJF,0.006423280333534381
GOOG-ICE,0.006429455175536463
ADSK-DGX,0.006437171507464866
NTRS-JKHY,0.006441041889481493
HD-LMT,0.006443238990786163
RMD-LH,0.006443685593884625
EMR-VRTX,0.006449742342144539
ALL-MAS,0.006450253338253229
WTW-TPL,0.006456201716613677
ORLY-AMP,0.006457248149564397
NSC-IDXX,0.006458916133685793
K-GILD,0.006461276023059047
AMZN-WRB,0.006464210940770871
STLD-VRTX,0.006467143913781708
FICO-MPWR,0.006471206786616421
EMR-BRO,0.006477766717937915
VICI-MTD,0.006483373429519012
COR-STX,0.006484349917122088
AMZN-DPZ,0.0064916907581278405
SJM-LKQ,0.006500119414772595
ALLE-SPGI,0.006501760665374856
CI-GL,0.006513206870433288
O-KMB,0.006520109609730352
TDY-PTC,0.006527275163974136
ES-DLTR,0.006553828596357239
CZR-CMCSA,0.00655971785155083
VLO-FANG,0.006567435354311202
COR-PNR,0.006578641766865369
DUK-ROK,0.0065795282315617865
KDP-STE,0.006590517299242732
XEL-GL,0.006599216905911912
AON-CINF,0.006599274357828159
LULU-POOL,0.0066016208980444035
EBAY-TYL,0.00660518044907628
ALGN-NKE,0.006606604145169403
COIN-STX,0.006608177044973435
NUE-BLDR,0.006610404130804865
LH-QCOM,0.0066161239418995816
EBAY-CINF,0.00662567455728917
EFX-SYK,0.006626314729868729
GOOGL-TPL,0.006627481433605241
RMD-WRB,0.006631587152511547
DUK-CINF,0.006631641503163106
PNC-RVTY,0.006631938150509817
PNC-RVTY,0.006631938150509817
OMC-PNW,0.006639821388227273
BRK.B-LYV,0.006642361045285393
ACGL-PANW,0.006643176541160618
AMZN-TPL,0.0066461573437786884
KDP-JKHY,0.006647770572065703
PG-CARR,0.006650346176810813
TSLA-ABBV,0.006651238432053006
APD-DTE,0.0066537702003469645
QCOM-BLK,0.006661241946864774
SO-ROK,0.006672028720106712
PTC-SYK,0.006675025053138674
NSC-FDS,0.006675686895636364
DLR-GL,0.006677605996530961
DVA-NWSA,0.006684455510690489
XYL-ADI,0.006688443982000981
EQIX-J,0.006690207164194914
TT-HLT,0.006695118356117616
SHW-ADI,0.006695881521426277
PNR-WELL,0.006720540089142727
MAR-ED,0.006741326580087588
WDAY-ROP,0.0067433587023378976
EMR-BX,0.006743594232895203
HD-VRTX,0.006745869983262253
MSFT-HCA,0.006760118713324226
INVH-DHR,0.006761929765142018
WM-NDAQ,0.006762738037297426
PSA-GIS,0.006763139501178417
WRB-ETN,0.006773484501173833
MCO-PAYX,0.006775578444376225
APD-AIZ,0.006775693376181039
KDP-HOLX,0.0067788299682906015
IDXX-WST,0.006783800282167846
IDXX-TER,0.006785664839561281
USB-EMN,0.006790350578793301
BRK.B-TDG,0.006794055599430332
CI-LOW,0.006804738552816046
GD-SNA,0.006807761504206456
KO-CRM,0.006810819006740147
PLD-ZBRA,0.006814629685369381
EA-MAS,0.006818860203520332
VMC-BRO,0.006821175446824576
WST-AVY,0.0068307479084228065
AES-ENPH,0.006849081964046162
GOOGL-LOW,0.006854305963307884
TDG-WRB,0.0068645102382463435
CDW-FDS,0.006866574723206241
JNJ-CSX,0.0068698141402764624
AIG-C,0.006870365006901295
EXPE-AMGN,0.00687275824704052
AME-YUM,0.006874949468023264
TTD-UNP,0.006884810918757139
HCA-MAR,0.006885625146096366
TRV-CMI,0.006892020659167886
CEG-NWS,0.006895857675819683
SHW-BR,0.006900173808459573
WM-SPGI,0.006905196659785546
AIZ-QCOM,0.00690652303671238
MMC-DECK,0.0069086254565159785
URI-KKR,0.0069094162852044744
TRV-ROL,0.006919908770569958
MAR-DRI,0.006921228298726312
ECL-UHS,0.00692735187057373
MDLZ-IEX,0.006928807824007877
MA-VRTX,0.006934194806414315
DUK-EFX,0.006936596459297756
PKG-GL,0.006939624624095072
COR-ANET,0.006942472317694086
DVA-CB,0.006957913028933732
DXCM-FDS,0.006964510673442368
ADSK-AEP,0.006965493305961251
AMAT-BX,0.006970065381971846
DUK-AME,0.0069729111731495035
IDXX-A,0.006973857841163255
STE-DHR,0.006980905248370172
TROW-MKC,0.0069816456975049295
ALL-SPGI,0.006983215265771318
STZ-DLTR,0.0070023797350139095
LYV-SPGI,0.007012006261849556
ADM-ALB,0.0070125347068753004
SBUX-EFX,0.007012577851446161
CTSH-ESS,0.0070197438968773495
AME-AMGN,0.007023086194101618
ROK-ATO,0.00702627917342543
HD-CARR,0.007027029353534845
NTRS-LNT,0.007029233433637764
TDG-ANET,0.007030471587702108
TMUS-AXP,0.0070417868374286164
JNJ-MDLZ,0.007043066265293882
NXPI-MU,0.007044468355074035
ICE-CINF,0.007044493946736903
LHX-RMD,0.007045258612846161
CSGP-SPGI,0.007053661003527986
ROK-FDS,0.007055616049891448
FAST-TJX,0.007058023495316188
HLT-KLAC,0.007062735504030481
TDG-URI,0.0070655208066465565
PAYX-RJF,0.007073816896204041
JPM-VRTX,0.007078229184718161
TSLA-SHW,0.0070797653275885665
AMT-PNC,0.007085830296089226
DUK-NOC,0.007086690468270767
MAS-AIZ,0.007088297726386793
INCY-CMCSA,0.007091703968323965
EQIX-ALLE,0.007091794865197742
COO-UNP,0.007095030685137966
JNJ-ZTS,0.007100316907335255
PCAR-VRTX,0.007103220440061841
SRE-HSIC,0.007104766266803558
HOLX-ACN,0.007107793778042998
CARR-ADI,0.0071173437427032695
WEC-EFX,0.007117682910401272
MAR-EFX,0.007130312868258885
ALGN-CRL,0.0071311306565733845
EQIX-WTW,0.0071338306431548175
AON-LRCX,0.007147619470371852
PEG-WRB,0.00714921050289049
HD-DTE,0.007152830269352501
SNA-EG,0.007153932005715706
CDNS-DHI,0.007157630868680232
DPZ-NEE,0.00716107299415094
IDXX-DPZ,0.007162735895415578
DLR-ED,0.007166246572043874
INTC-GPN,0.007169537251611378
ABBV-MET,0.007170034083721905
MPC-STLD,0.00717174875714115
URI-SNPS,0.0071762395782227735
USB-STZ,0.007181772062297849
LULU-EXPD,0.007186487123377401
JNJ-ED,0.007190377227907579
FDX-GL,0.007199918588039849
DUK-LHX,0.007201544227099918
ERIE-SNA,0.007203691237814909
IDXX-MTD,0.007209041453514693
QCOM-ACN,0.007220957077242117
SWKS-MDT,0.007227746364025532
BRK.B-PNR,0.007239283394522043
YUM-LH,0.007246142683015805
DOV-PTC,0.007252765260476742
MDLZ-AOS,0.007254871342000161
JNJ-EW,0.00726144449632508
