pair,entry_date,exit_date,days_held,exit_reason,pnl,pnlcomm,size_s1,entry_price_s1,exit_price_s1,size_s2,entry_price_s2,exit_price_s2
AAPL-MPWR,2024-10-31,2025-01-03,64,Z-Score Reversion,-12522.417485143487,-12714.236185883732,-229.0587183201405,225.91,243.36,61.144250523252026,759.3,619.87
CPRT-OTIS,2024-11-25,2025-01-10,46,Z-Score Reversion,1411.65132837493,1229.1321017938906,-812.222242482135,63.75,55.64,442.7263522801701,102.46,90.77
HD-ACN,2024-12-19,2025-01-14,26,Z-Score Reversion,4458.275813178909,4245.888391968494,137.29271837639635,385.02,392.78,-146.43436851869086,372.16,348.99
ACN-LOW,2024-12-19,2025-01-15,27,Z-Score Reversion,5634.321558362695,5431.192026609089,-142.0368723916598,372.16,349.73,200.69135332932495,244.52,256.72
EXR-INVH,2024-12-19,2025-01-15,27,Z-Score Reversion,4561.228865834295,4355.454173920069,371.3413588288031,142.35,149.49,-1565.452101472655,31.72,30.5
AVGO-HWM,2024-12-17,2025-01-16,30,Z-Score Reversion,6580.554058054382,6388.321462469141,-218.4202525887241,240.23,229.41,381.6513054338814,111.93,122.98
CTAS-HLT,2024-12-10,2025-01-21,42,Z-Score Reversion,-915.782501853435,-1123.7625785216633,249.50127811777108,210.14,201.23,-210.17265051059564,253.72,247.5
CARR-VLTO,2024-12-19,2025-01-24,36,Z-Score Reversion,2495.6023331493634,2279.280890559492,792.6292162135271,66.69,70.12,-531.2282820548497,101.33,101.75
BKNG-ANET,2025-01-22,2025-01-27,5,Z-Score Reversion,17054.494090766035,16819.141970654753,11.56229772632152,4619.21,4675.36,-555.734114953695,129.82,100.3
CEG-ALLE,2025-01-16,2025-01-27,11,Z-Score Reversion,7609.703287895922,7442.621559552508,-171.53417105502902,315.24,275.0,245.5445293894277,132.62,135.5
CEG-APTV,2025-01-16,2025-01-27,11,Z-Score Reversion,7928.104382604492,7781.537999928703,-171.53417105502902,315.24,275.0,361.1159645599022,61.33,64.17
CEG-CBOE,2025-01-15,2025-01-27,12,Z-Score Reversion,6931.586718368591,6757.926915424025,-179.9594560584083,300.77,275.0,176.05767734024639,192.41,205.44
FAST-GEV,2025-01-06,2025-01-27,21,Z-Score Reversion,12185.95112400585,11923.187688757343,1486.9700272089192,35.985,38.135,-217.51882796144426,371.32,329.995
GOOG-DOV,2024-12-11,2025-01-30,50,Z-Score Reversion,-548.096927945975,-753.614885791942,-266.38441250914605,196.71,202.63,243.81488012041854,201.2,205.42
